Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Iraq,-0.3848537081227062,-0.3877072518399936,-0.3818102687913921,-0.28627585928871196,-0.48313796097620065,-0.11416608170078296,-1.4776308018644453,-0.027561293867490313,-0.9522296337411961,0.3532541287313049
Nepal,-0.39273147864655106,-0.38071628711861166,-0.4031616871567311,-1.023517049038916,-0.5031029124442102,-0.47598895767925464,0.18374746471775336,0.9877893063976053,-0.1424643097918368,0.2942571059204132
Laos,-0.4114411836406826,-0.40967885525005254,-0.41286687732279403,-0.39270856625969247,-0.9822617476764394,-0.6075609125805171,1.225752254723255,0.4054558738926244,0.48601026998975544,-0.28209842461675877
Gabon,-0.4439369870515429,-0.427655621676464,-0.4594517901198968,0.11349577177301796,-0.34338330070013373,-1.1272701344405038,-0.8145368445882168,-1.4609974354182134,-0.32375505395960374,0.015155805699656714
Ivory Coast,-0.46953974125403836,-0.44663109734878753,-0.4914789176679053,-0.7249862855837276,-1.874029579914199,-1.4956716081640387,-0.5886476943073037,-0.3411254498317109,0.44975212115620206,1.4741975621382457
Guinea,-0.5256688562364331,-0.5045562336116693,-0.5448574635812519,-1.3713702864562656,-1.7276199358154622,-1.837758690907321,-0.7781031106719405,1.002720932872092,-0.2391527066813126,1.9144061169579754
Senegal,-0.578843807272385,-0.5744658808254928,-0.5836782242455042,-1.1221619969632388,-1.298373479253257,-0.8114974426774738,-0.1514428873119887,0.13668659735186353,-0.6984225919063222,0.9477625893641364
Iran,-0.624140987784493,-0.6463729465311394,-0.6021180855610242,0.1965652016040269,-0.017289093389311633,0.36607155368882466,-1.9075488620765053,1.3760115947342595,-0.04577591290236115,-1.3531213002606373
Azerbaijan,-0.6536826272489114,-0.6523652020066102,-0.654526112457765,0.19137336223958884,-0.8824369903363916,-0.12732327719090922,0.2930486664665823,-0.46057846162760435,0.8727638575476584,-1.2328581383768964
Nigeria,-0.6654992830346782,-0.6523652020066102,-0.6778185688563164,-0.8236312335080508,-0.22026609998074181,-1.7061867360060585,-0.45019950542545445,0.868336294601712,-1.3027250724655455,0.15584101394101377
State of Palestine,-0.6674687256656401,-0.6643497129575509,-0.6690838977068594,0.18747948271626014,0.3204513356111836,0.2246317021699685,0.09630650331869021,-0.0947536130026801,-0.07599103693032234,-0.02001549636068268
Cameroon,-0.672392332243043,-0.6743368054166682,-0.6690838977068594,-1.0806272820477347,-0.94898682856309,-1.4956716081640387,-0.7781031106719405,-0.2515356909847906,-0.8071970384069824,0.9681846357217525
Ukraine,-0.6733770535585231,-0.6823264793839623,-0.6642313026238279,-0.0240879713845903,0.5783319587396399,-0.015487115524836037,0.023439035486137585,2.122592918458594,-1.2302087747984387,-2.0429326438956776
Namibia,-0.7137506274932282,-0.7122877567613153,-0.7156688105039621,-0.24214522469098876,0.23560029187214282,-1.3706782510078392,-1.149727196617959,-1.1026384000305325,-0.795110988795798,-0.4704350743592204
Morocco,-0.7501853161660104,-0.7582283820732565,-0.7428433429689392,-0.379728967848597,-2.230071214427036,-0.13390187493597233,0.023439035486137585,-1.5057923148416732,-0.5413039469609242,0.47124817435308824
Pakistan,-0.8860768577023335,-0.8910567117795204,-0.8806570433270343,-0.7535414020881372,-1.8008247578648306,-1.2785778825769556,-0.6250814282235799,0.017233585555969825,-0.6379923438503999,0.5756275224031273
Niger,-0.9855337105658744,-0.9579702312556083,-1.0107065915522797,-2.0411175644687747,-1.5446078806920411,-1.4627786194387231,-0.09314891304594661,0.03216521203045654,0.24428927776606593,1.0294507747946018
Burkina Faso,-0.9934114810897192,-0.9839366716493139,-1.0019719204028228,-1.5660642626226926,-1.5179879454013618,-1.587771976594922,-1.0549994884356404,0.4502507533160841,0.6310428653239688,0.7843862185032056
Mauritania,-1.0357544976553852,-0.9969198918461666,-1.0728198086150835,-0.7301781249481657,-1.4514381071746636,-0.7588686607169688,-2.075144038091376,-0.1470143056633836,0.8606778079364739,-0.009804473181874128
Gambia,-1.055448923964997,-1.044857935649931,-1.066026175498839,-1.5816397807160067,-1.5213154373126967,-1.2193705028713873,-1.2298814112337664,2.704926350963576,-0.9522296337411961,0.5370525459498517
Chad,-1.0692350223817255,-1.0398643894203723,-1.096112265013635,-1.9632399740022037,-1.118688916041171,-2.0811668074746565,-1.579645256830019,1.1221739446679857,-0.16663640901420573,1.0634875187239616
Kenya,-1.0702197436972065,-1.074819213027284,-1.066026175498839,-0.8366108319191462,-0.819214644021028,-1.0680627547349357,-0.792676604238451,2.0777980390351343,-0.6984225919063222,-0.7654201884136782
Tunisia,-1.1174863668402755,-1.164703045159342,-1.0718492895984768,-0.1383084374022276,-0.6195651293409327,0.4187003356493297,-2.723664501801094,-1.774561591382434,-1.31481112207673,-0.835762792534357
Uganda,-1.1667224326143055,-1.1686978821429888,-1.1640485961760758,-1.524529547707188,0.03262328528071264,-0.9364907998336732,-0.29717782297709394,0.5249088856885177,-0.8797133360740893,-0.9015671641311206
Cambodia,-1.1972487933942038,-1.223626890668136,-1.1708422292923206,-0.9041047436568409,-0.40660564701549773,-0.48256755542431773,1.713964289201357,0.4054558738926244,-0.6742504926839534,-2.0157032487521893
Ghana,-1.2484543017991956,-1.2735623529637239,-1.2232502561890606,-0.732774044630385,-1.3116834468985967,-1.0220125705194938,-0.03485493877990451,0.5995670180609513,-1.1939506259648853,-0.8629921876778455
Liberia,-1.2681487281088073,-1.1956630317826065,-1.3387420191652117,-1.9217052590866992,-1.557917848337381,-1.410149837478218,-0.5959344410905589,0.5249088856885177,-0.6259062942392155,0.5098231508063633
Mali,-1.3045834167815895,-1.3224991060133995,-1.286333992268471,-1.5894275397626638,-1.5080054696673575,-1.633822160810364,-0.30446456976034925,-0.3411254498317109,-0.44461555007144854,0.18307040908450226
Madagascar,-1.3085223020435124,-1.3105145950624588,-1.3057443726005966,-1.898341981946728,-1.0587940616371427,-1.199634709636198,-2.752811488934115,0.43531912684159735,-0.04577591290236115,0.5529363597835536
Togo,-1.3223084004602401,-1.3394771631938998,-1.3047738535839908,-1.5608724232582545,-1.8474096446235195,-1.2851564803220186,-1.2736018919332979,-0.23660406451030389,0.3530637242667262,0.364599710041092
Jordan,-1.3498805972936976,-1.363446185095782,-1.3358304621153927,-0.2525289034198649,-0.5263953558235547,0.5173793018252766,-0.2534573422775624,-1.2519546647753996,0.7519033614358136,-2.6079425931230626
India,-1.479863810937137,-1.5462099770976336,-1.4144425024605036,-0.5017371929128916,-1.6244676865640795,-0.647032499050896,1.0144365980088526,0.4651823797905708,-0.057861962513545626,-2.0361252951098057
Bangladesh,-1.6452969919378784,-1.6750434698202505,-1.615339938898009,-0.6159576589305283,-2.9687744187433887,-0.015487115524836037,1.0727305722748945,-0.04249292034197661,0.48601026998975544,-1.6662593444107543
Ethiopia,-1.6699150248248933,-1.6720473420825155,-1.6667774467781433,-1.4726111540628075,-0.7526648057943294,-0.6272967058157065,-1.361042853332361,1.8986185213412945,-0.31166900434841927,-1.6571828793629246
Tanzania,-1.7486927300633415,-1.7519440817554564,-1.745389487123254,-1.399925402960675,-1.4481106152633287,-0.8904406156182313,0.5918052845800472,0.7190200298568449,1.5737547349963572,-2.124620829326143
Yemen,-1.9653314194690743,-1.9546820586755431,-1.9744319750423427,-1.7867174356113098,0.4651972337542524,-1.4627786194387231,-1.9366958492095263,-0.9383905088111788,-0.16663640901420573,-2.0270488300619762
Zambia,-2.02342997708243,-2.03258137985666,-2.0132527357065952,-1.1948477480653716,-1.1053789483958312,-1.6535579540455534,0.7229667266786419,0.3755926209436509,-0.21498060745894365,-2.5580220353600005
Eswatini,-2.02342997708243,-1.9956291377579252,-2.0491619393210283,-0.2707003411953984,-0.7193898866809801,-2.2324745556111085,-2.5050620983034366,-1.2519546647753996,-0.13037826018065232,-2.1949634334468215
Malawi,-2.103192403636359,-2.107484573300042,-2.0976878901513434,-1.9268970984511373,-2.4330482210184665,-1.0943771457151883,-0.41376577150917815,-0.11715105271441018,0.11134273204303703,-1.0218303260148611
Zimbabwe,-2.1819701088748067,-2.211350334874865,-2.1510664360646907,-1.5868316200804446,-0.9689517800310996,-1.8640730818875735,-1.0258525013026194,-0.6994844852193915,0.050912483987114655,-1.9430915283695533
Congo (Kinshasa),-2.2272672893869148,-2.206356788645306,-2.2461772996921088,-2.1423584320753166,-1.5845377836280603,-1.6667151495356798,-1.127866956268193,0.6891567769078715,-0.6621644430727689,-1.2510110684725553
Sierra Leone,-2.2765033551609446,-2.302232876252835,-2.250059375758534,-1.8308480702090333,-1.9139594828502182,-1.725922529241248,-1.157013943401214,0.5697037651119777,-0.8917993856852738,-1.328161021379106
